gene_symbol	TCGA-04-1348-01A-01R-1565-13	TCGA-04-1357-01A-01R-1565-13	TCGA-04-1362-01A-01R-1565-13	TCGA-04-1364-01A-01R-1565-13	TCGA-04-1365-01A-01R-1565-13	TCGA-04-1514-01A-01R-1566-13	TCGA-04-1519-01A-01R-1565-13	TCGA-09-0364-01A-02R-1564-13	TCGA-09-0366-01A-01R-1564-13
PNPLA6	4.70527794190009	4.87865619638305	4.67977339422374	7.43380740925454	4.35054109303184	6.04947873659562	4.44650901026845	6.09404790750537	5.07222459063325
PNPLA7	0.758762651156317	1.84472147942535	1.89570279735506	0.384125421932923	1.08599359954302	0.594706568551566	1.35016227664519	0.473514085302244	2.53833627152321
PNPLA8	3.50375833116515	3.3576005628047	3.27951408555282	3.98608595093566	3.61034335964079	4.40696653036963	3.33978816159402	2.833487621709	3.87038444861146
PNPO	5.30901097837547	5.11702215441613	4.76587787602967	4.08520622983066	5.14304356028145	4.91896243405217	4.70042140689552	2.41191402197619	4.45656370879259
PNPT1	3.83328379085585	2.85013431821381	2.74615042722426	3.93142682830744	3.97576315166417	3.10327286726019	3.30793061226953	4.06890464931225	3.30872884191328
PNRC1	6.53610016016574	7.72808581060309	8.25979974656711	7.00830647805784	7.45462913229774	7.62269539616196	6.76545385770064	6.63206226771802	7.79827932091696
PNRC2	5.84682925379654	5.83945551326948	5.6719661524218	5.8215592036902	6.26261355840363	6.17803953936114	5.84415337084819	6.53927143000261	6.09015011454318
POC1A	4.48017527400106	2.83889651803365	3.71544314431629	3.95322891505428	3.57463560611767	3.62700675764228	2.62255510773214	4.7150669329562	3.18412490668465
POC1B	3.78310143734454	3.33105866745939	4.98778652838686	4.40696653036963	3.97944371658726	5.18298025168049	3.94546537422019	2.50865125157007	4.16681344208069
POC5	3.91218613539631	2.71632765080776	3.00569119230647	3.82030356503065	3.67827815067628	3.97428333587271	3.22209787538307	2.68489345061839	3.00396070725568
PODN	1.42642686425531	2.74939160006481	0.53386620763078	0.627276708000407	1.6318413938673	1.31962602621696	3.28232800292923	1.60618067152919	1.54696407788729
PODNL1	1.85924245339627	1.80512609233195	1.18797672636242	0.642831489392676	0.882326580281476	1.12945184360603	3.27951408555282	0.304885276256378	1.48765355645184
PODXL	4.45617729673416	4.73669740830019	5.86163359933396	5.62366263723909	3.77563845953637	6.50383495849657	7.82917155201141	5.92984069600277	4.85528860435911
PODXL2	3.36787689879789	5.13229921642871	6.08238283483073	6.68127355617412	4.16310097022822	5.66593078186251	4.33764473519237	6.56270462325301	4.42840908530931
POF1B	1.26065018663436	1.23815462502719	1.19621295576547	0.0158047017181876	0.51713406274464	0.362068880227817	3.0271321065153	0.992072071758149	1.34896604653485
POFUT1	5.37253148264316	4.89018692581825	4.65360235931318	5.71105184314176	4.57838748622166	5.68775302700989	5.12812798647481	5.1617712143052	4.8350307007754
POFUT2	4.19251297512979	3.77489035023338	3.9558112246494	3.67225220817835	3.54524313377704	4.42918476491662	4.27195448766144	4.67370679110707	4.59816627312166
POGK	5.10735770207446	5.17353283460114	5.21253276521197	5.67622339546485	4.94972914684919	6.08392900578803	5.75748655252194	5.72661735760104	4.47669274730127
POGZ	4.12338146947544	4.77622666458883	4.43534789455977	4.77787415205514	4.29191955496361	5.85355758404868	4.95975207505107	5.57547087319248	5.94680126231474
POLA1	3.12501622906736	2.54621587876834	2.58438747216531	1.84938323124547	3.04505166355613	3.31591150260771	2.8366476649818	2.10199121364011	2.79031247047179
POLA2	4.88078640265019	3.6616926021993	4.7927767618557	4.2685661405324	5.26049167057865	2.79304603365071	3.77115031376989	5.18393267254911	3.69594149220213
POLB	4.23180486201415	4.19065278378661	5.20059105880919	5.08221888526813	4.58273000707238	3.62207408219285	4.72077040822496	4.7708533549749	4.31871524495021
POLD1	4.28701565509219	3.3326515134956	3.97058036287862	4.50780605488353	4.11039498363861	4.30135644570885	3.44062775443384	5.88749090884576	4.12450018928845
POLD2	6.82891333054955	6.32217098821686	6.10421524185257	7.52576978463756	6.37013689837496	6.72623451091886	7.63234747428978	8.30126205241423	6.78924409881011
POLD3	3.79056458341449	3.08647162391582	4.57011739576216	3.2395657657381	4.26405294957548	4.49613123058781	3.41804310677762	3.0497084760168	1.85402078936051
POLD4	6.55520754308318	7.46934225904732	7.19963014293561	5.47139493857728	6.92334293747694	4.66365145833091	7.04137660759932	5.64260742973382	6.37201024402704
POLDIP2	5.58065323336764	5.32306232855808	5.29455274765017	5.80449245654136	5.31853919448744	5.32960656706367	5.54762842748589	5.98931138459118	5.46004528926492
POLDIP3	4.6704897011626	5.12766464232065	4.72117576574809	3.39573146808146	4.80737295563291	4.68258734220757	4.82663085202224	5.54762842748589	4.81406175209044
POLE	4.08853936891801	2.50566942855872	3.51568722450177	3.74242127640818	4.61762291167216	4.128226577471	3.42311449792344	5.40531781012354	3.81025182867298
POLE2	2.79350452314555	1.72094952355544	1.57451378619646	3.37572119567715	2.8885279851742	3.59060680964954	2.54572625270453	3.73492959751498	1.03614107597843
POLE3	6.37860716395642	5.42637815278577	7.19451063972059	5.65753768683622	6.38617997424439	6.68127355617412	5.33771894059628	5.69140016225264	6.36265082797232
POLE4	5.5985724468259	5.2044185528399	6.25392764036228	5.95607803239956	6.04117178333456	5.31853919448744	5.54480991902226	5.75494173579099	6.27487793691092
POLG	3.98645735560748	4.05668756512284	3.85481154681121	3.57844606030379	3.66131522120462	3.3473279014156	3.4305214648436	4.56656859644934	3.93696389237161
POLG2	3.36629871124062	2.88630840981032	2.70133524278775	3.15486897201434	3.02327966319272	3.29515964644905	3.03395751463031	3.14907739102176	2.92567287693692
POLH	3.1354082918512	3.19885808177673	3.23430249943955	3.25492988704746	3.36787689879789	2.39091966749199	2.41396770503829	2.97025455389896	3.03182462351899
